lat_a, lat_b, long_a, long_b, loc
40.444420,40.449599, -79.995385,-79.987619, strip
40.447895,40.453096, -79.988696,-79.981017, strip 
40.452255,40.457567, -79.981337,-79.973746, strip
40.457857,40.463045, -79.977473,-79.969597, strip
40.447303,40.455695, -79.948996,-79.937280, shadyside
40.449981,40.458438, -79.937537,-79.926122, shadyside
40.452822,40.460463, -79.925993,-79.914234, shadyside
40.440204,40.448010, -79.946993,-79.935585, squill
40.441347,40.449087, -79.934984,-79.923569, squill
40.436644,40.444384, -79.932452,-79.921337, squill
40.437493,40.445332, -79.921552,-79.910050, squill 
40.429166,40.438397, -79.935796,-79.922434, squill
40.428579,40.438202, -79.922383,-79.908713, squill
40.468905,40.473172, -79.932637,-79.926299, east_liberty
40.466521,40.470877, -79.927854,-79.921610, east_liberty
40.465392,40.469658, -79.921893,-79.915648, east_liberty
40.462219,40.466575, -79.930116,-79.923942, east_liberty
40.461896,40.466217, -79.924696,-79.918429, east_liberty
40.458096,40.462273, -79.921822,-79.915460, east_liberty
40.458365,40.462040, -79.932166,-79.925992, east_liberty
40.436666,40.441059, -79.975584,-79.969726, oakland
40.436486,40.439181, -79.971893,-79.966121, oakland
40.436544,40.440059, -79.966343,-79.962196, oakland
40.439911,40.443327, -79.967237,-79.962879, oakland
40.439379,40.442832, -79.962131,-79.957626, oakland
40.437016,40.441638, -79.959789,-79.954103, oakland
40.437915,40.442471, -79.954317,-79.948567, oakland
40.433750,40.438307, -79.955455,-79.949640, oakland
40.453469,40.457399, -79.955240,-79.950114, oakland
40.449812,40.453627, -79.954789,-79.949306, oakland
40.446539,40.450555, -79.958282,-79.953287, oakland
40.443095,40.446997, -79.952254,-79.946696, oakland
40.442938,40.446882, -79.957775,-79.952630, oakland
40.437330,40.444159, -80.007558,-79.998781, downtown
40.440164,40.446425, -80.002279,-79.993720, downtown
40.434499,40.440348, -80.002550,-79.994473, downtown
40.438369,40.443863, -79.992429,-79.985366, downtown
