JANCEY ST AT WELLESLEY AVE, east_liberty
SHADY AVE OPP HOBART ST, squill
HIGHLAND AVE AT WALNUT ST, east_liberty
SMITHFIELD ST AT FT PITT BLVD, downtown
HIGHLAND AVE AT JACKSON ST, east_liberty
CENTRE AVE AT SOHO ST, oakland
CENTRE AVE AT BIGELOW BLVD, oakland
LIBERTY AVE AT 27TH ST, strip
FORBES AVE AT BEECHWOOD BLVD, squill 
PENN AVE AT VILLAGE OF EASTSIDE SHPG CTR, shadyside
BLACK ST AT AIKEN AVE, east_liberty
FIFTH AVE AT MOULTRIE ST, oakland
NEGLEY AVE AT ELLSWORTH AVE, shadyside
MILWAUKEE ST OPP BRYN MAWR RD, oakland
SHADY AVE AT DOUGLAS ST, squill
LIBERTY AVE AT 11TH ST (GREYHOUND), strip
STATION SQUARE STATION, downtown
SEVENTH AVE AT SMITHFIELD ST, strip
NEGLEY AVE AT PENN AVE, east_liberty
ROBERTS ST AT WEBSTER AVE, strip 
SECOND AVE AT ALLEGHENY COUNTY JAIL, downtown
EAST LIBERTY BLVD AT EUCLID AVE, east_liberty
MILWAUKEE ST OPP BRYN MAWR RD, oakland
ALLEQUIPPA ST AT OUTLET ST, oakland
FORBES AVE AT SENECA ST, oakland
LIBERTY AVE AT 6TH ST, downtown
LIBERTY AVE AT CANOE WAY, oakland
WILKINS AVE AT WORTH ST, squill 
PENN AVE AT SHERIDAN AVE, shadyside
STANTON AVE AT EUCLID AVE, east_liberty
CENTRE AVE AT NEGLEY AVE, shadyside
FIFTH AVE AT ROSS ST, downtown
LIBERTY AVE AT 14TH ST, strip
FIFTH AVE AT MARYLAND AVE, squill
ALLEQUIPPA ST AT SUTHERLAND DR (PETERSEN CTR), oakland
ELLSWORTH AVE AT AMBERSON AVE, shadyside
HAMILTON AVE AT ENTERPRISE ST, east_liberty
CENTRE AVE AT REED ST, oakland
CHISLETT ST AT HAMPTON ST, east_liberty
EAST LIBERTY BLVD AT HIGHLAND AVE, east_liberty
CENTRE AVE AT SOHO ST, oakland
ALLEQUIPPA ST AT WHITRIDGE ST, oakland
TERRACE ST AT DARRAGH ST, oakland
LIBERTY AVE AT BAUM BLVD, shadyside
HIGHLAND AVE AT BROAD ST, east_liberty
LARIMER AVE AT MEADOW ST, east_liberty
CRAIG ST OPP BIGELOW BLVD, oakland
CENTRE AVE AT DEVILLIERS ST, strip 
CRAIG ST OPP BAUM BLVD FS (MOOREHEAD TOWER), oakland
DEVILLIERS ST AT WYLIE AVE, strip 
FRIENDSHIP AVE AT NEGLEY AVE, east_liberty
FORBES AVE AT JUMONVILLE ST, oakland
FIFTH AVE AT SMITHFIELD ST, downtown
MULHATTON ST AT BEACON ST FS, squill
NEGLEY AVE AT #370 (BAUM BLVD), shadyside
ST CLAIR ST AT BRYANT ST, east_liberty
LIBERTY AVE OPP 11TH ST FS (AMTRAK), strip
FRANKSTOWN AVE AT LINCOLN AVE, east_liberty
BAUM BLVD AT LIBERTY AVE, shadyside
CENTRE AVE AT WASHINGTON PL FS, strip
WILKINS AVE AT WIGHTMAN ST, squill
6TH ST AT FT DUQUESNE BLVD, downtown
TILBURY AVE AT FORWARD AVE, squill
BEATTY ST AT BAUM BLVD NS, east_liberty
GRANT ST AT STRAWBERRY WAY (US STEEL TOWER), strip
OAK HILL DR AT BENTLEY DR, oakland
ELMORE ST AT ROSE ST, oakland
MILLVALE AVE AT BAUM BLVD, oakland
BRYANT ST AT MELLON ST, east_liberty
FIFTH AVE OPP SENECA ST, oakland
CENTRE AVE AT ERIN ST, strip 
BEDFORD AVE AT WATT LN, strip
32ND ST AT SPRING WAY, strip
CENTRE AVE AT WASHINGTON PL NS, strip
STANWIX ST AT FOURTH AVE (PPG PLACE), downtown
WILKINS AVE AT FAIR OAKS ST, squill
LIBERTY AVE AT 30TH ST, strip
DARLINGTON RD AT BEACON ST, squill 
NEGLEY AVE AT HAMPTON ST, east_liberty
E CARSON ST AT STATION SQUARE STATION, downtown
6TH ST AT FT DUQUESNE BLVD, downtown
FORBES AVE AT CRAFT AVE FS, oakland
ALLEQUIPPA ST AT SUTHERLAND DR (PETERSEN CTR), oakland
ST CLAIR ST AT BRYANT ST, east_liberty
CRAIG ST AT BIGELOW BLVD FS, oakland
SECOND AVE AT PGH TECH CTR (MIDDLE ACCESS RD), oakland
FIFTH AVE AT #2358, oakland
STEEL PLAZA STATION, strip
HIGHLAND AVE AT STANTON AVE, east_liberty
CENTRE AVE AT CRAIG ST, oakland
CRAIG ST AT BIGELOW BLVD FS, oakland
PENN AVE AT SHERIDAN AVE, shadyside
OLIVER AVE AT WILLIAM PENN PL, strip
BEECHWOOD BLVD AT #2530, squill
PENN AVE AT EASTSIDE III DR, shadyside
LIBERTY AVE AT SIXTH AVE, downtown
BEELER ST AT FORBES AVE FS, squill
SECOND AVE OPP TECHNOLOGY DR, oakland
FORBES AVE AT MURDOCH ST, squill
EAST LIBERTY BLVD AT HIGHLAND AVE, east_liberty
FORBES AVE AT DENNISTON ST, squill 
CENTRE AVE AT EWART DR, oakland
FORBES AVE AT DITHRIDGE ST, oakland
FORBES AVE AT MURDOCH ST, squill
LIBERTY AVE OPP PACIFIC AVE, shadyside
NEGLEY AVE AT BLACK ST, east_liberty
FORBES AVE AT DENNISTON ST, squill 
CENTRE AVE AT MILLVALE AVE, shadyside
BLVD OF ALLIES AT STANWIX ST, downtown
STANTON AVE AT EUCLID AVE, east_liberty
MURRAY AVE AT WILKINS AVE FS, squill
ARLINGTON AVE AT E CARSON ST, downtown
SHADY AVE AT PHILLIPS AVE, squill
ANDERSON ST AT GENERAL ROBINSON ST, downtown
GRANT ST AT FIFTH AVE (UNION TRUST BLDG), strip
FIFTH AVE OPP SENECA ST, oakland
NEGLEY AVE AT CENTRE AVE, shadyside
LIBERTY AVE AT MATHILDA ST (WEST PENN HOSP), oakland
FORBES AVE AT MURDOCH ST, squill
NEGLEY AVE AT BROAD ST FS, east_liberty
DEVILLIERS ST AT WEBSTER AVE, strip 
FIFTH AVE OPP CLYDE ST, shadyside
FORBES AVE BTW DENNISTON ST & SHADY AVE, squill 
CENTRE AVE AT CRAWFORD ST, strip
BLVD OF ALLIES AT CRAFT AVE FS, oakland
SEVENTH AVE AT SMITHFIELD ST, strip
FORBES AVE AT DITHRIDGE ST, oakland
FIFTH AVE OPP TENNYSON AVE, oakland
CRAIG ST AT BAYARD ST, oakland
PANTHER HOLLOW RD OPP SCHENLEY PARK POOL, oakland
LIBERTY AVE AT 12TH ST, strip
FIFTH AVE AT SMITHFIELD ST, downtown
LIBERTY AVE AT 32ND ST NS, strip
NEGLEY AVE AT EAST LIBERTY BLVD, east_liberty
SHADY AVE AT PHILLIPS AVE, squill
FORBES AVE AT BOUQUET ST FS, oakland
JANCEY ST AT HAMPTON ST, east_liberty
FIFTH AVE AT WILLIAM PENN PL FS, downtown
BEDFORD AVE OPP DUFF ST, strip
FIFTH AVE AT CHESTERFIELD RD, oakland
STANTON AVE AT NEGLEY AVE, east_liberty
HALKET ST AT LOUISA ST, oakland
PENN AVE AT 33RD ST NS, strip
FIFTH AVE OPP DIAMOND ST, downtown
STANTON AVE AT CHISLETT ST, east_liberty
CRAIG ST AT BAYARD ST, oakland
FORBES AVE AT MURRAY AVE, squill
ALLEQUIPPA ST OPP SUTHERLAND DR FS, oakland
NEGLEY AVE AT WALNUT ST, shadyside
CRAFT AVE AT FIFTH AVE FS (DIALYSIS CTR), oakland
PENN AVE AT 28TH ST, strip
CENTRE AVE AT MOREWOOD AVE, shadyside
